"Propinsi","DT2","KotaKabupaten","Kecamatan","KodePos",
"Jawa Barat","Kab.","Cianjur","Tanggeung","43267",
"Jawa Barat","Kab.","Tasikmalaya","Tanjungjaya","46184",
"Jawa Barat","Kab.","Sumedang","Tanjungkerta","45354",
"Jawa Barat","Kab.","Sumedang","Tanjungmedar","45354",
"Jawa Barat","Kab.","Bogor","Tanjungsari","16840",
"Jawa Barat","Kab.","Sumedang","Tanjungsari","45362",
"Jawa Barat","Kab.","Subang","Tanjungsiang","41284",
"Jawa Barat","Kota","Depok","Tapos","16451 - 16459",
"Jawa Barat","Kab.","Tasikmalaya","Taraju","46474",
"Jawa Barat","Kab.","Garut","Tarogong Kaler","44151",
"Jawa Barat","Kab.","Garut","Tarogong Kidul","44151",
"Jawa Barat","Kab.","Bekasi","Tarumajaya","17211 - 17218",
"Jawa Barat","Kota","Tasikmalaya","Tawang","46111 - 46115",
"Jawa Barat","Kab.","Sukabumi","Tegal Buleud","43186",
"Jawa Barat","Kab.","Purwakarta","Tegal Waru","41111 - 41165",
"Jawa Barat","Kab.","Karawang","Tegalwaru","41362",
"Jawa Barat","Kab.","Karawang","Telukjambe Barat","41361",
"Jawa Barat","Kab.","Karawang","Telukjambe Timur","41361",
"Jawa Barat","Kab.","Karawang","Tempuran","41385",
"Banten","Kab.","Tangerang","Pagedangan","15330 - 15157",
"Banten","Kab.","Tangerang","Pakuhaji","15570",
"Banten","Kab.","Tangerang","Panongan","15710",
"Banten","Kab.","Tangerang","Pasar Kemis","15560",
"Banten","Kab.","Tangerang","Rajeg","15540",
"Banten","Kab.","Tangerang","Sepatan","15520",
"Banten","Kab.","Tangerang","Sepatan Timur","15520",
"Banten","Kab.","Tangerang","Sindang Jaya","15540 - 15560",
"Banten","Kab.","Tangerang","Solear","15730",
"Banten","Kab.","Tangerang","Sukadiri","15530",
"Banten","Kab.","Tangerang","Sukamulya","15610",
"Banten","Kab.","Tangerang","Teluknaga","15510",
"Banten","Kab.","Tangerang","Tigaraksa","15720",
"Banten","Kota","Tangerang Selatan","Ciputat","15411 - 15414",
"Banten","Kota","Tangerang Selatan","Ciputat Timur","15412 - 15419",
"Banten","Kota","Tangerang Selatan","Pamulang","15415 - 15418",
"Banten","Kota","Tangerang Selatan","Pondok Aren","15220 - 15229",
"Banten","Kota","Tangerang Selatan","Serpong","15311 - 15310",
"Banten","Kota","Tangerang Selatan","Serpong Utara","15320 - 15326",
"Banten","Kota","Tangerang Selatan","Setu","15312 - 15315",
"Jawa Barat","Kab.","Garut","Mekarmukti","44165",
"Jawa Barat","Kab.","Bekasi","Muara Gembong","17730",
"Jawa Barat","Kab.","Cirebon","Mundu","45173",
"Jawa Barat","Kota","Bekasi","Mustika Jaya","17155 - 17158",
"Jawa Barat","Kab.","Sukabumi","Nagrak","43356",
"Jawa Barat","Kab.","Bandung","Nagreg","40215",
"Jawa Barat","Kab.","Bogor","Nanggung","16650",
"Jawa Barat","Kab.","Cianjur","Naringgul","43274",
"Jawa Barat","Kab.","Bandung Barat","Ngamprah","40552",
"Jawa Barat","Kab.","Kuningan","Nusaherang","45563",
"Jawa Barat","Kab.","Sukabumi","Nyalindung","43196",
"Jawa Barat","Kab.","Cirebon","Pabedilan","45193",
"Jawa Barat","Kab.","Cirebon","Pabuaran","45188",
"Jawa Barat","Kab.","Subang","Pabuaran","41251 - 41262",
"Jawa Barat","Kab.","Sukabumi","Pabuaran","43173",
"Jawa Barat","Kab.","Bandung","Pacet","40385",
"Jawa Barat","Kab.","Cianjur","Pacet","43253 - 43281",
"Jawa Barat","Kab.","Pangandaran","Padaherang","46267 - 46384",
"Jawa Barat","Kab.","Tasikmalaya","Padakembang","46466",
"Jawa Barat","Kab.","Bandung Barat","Padalarang","40553",
"Jawa Barat","Kab.","Subang","Pagaden","41251 - 41252",
"Jawa Barat","Kab.","Subang","Pagaden Barat","41252",
"Jawa Barat","Kab.","Cianjur","Pagelaran","43266",
"Jawa Barat","Kab.","Tasikmalaya","Pagerageung","46158 - 46413",
"Jawa Barat","Kab.","Garut","Pakenjeng","44164",
"Jawa Barat","Kab.","Karawang","Pakisjaya","41355",
"Jawa Barat","Kab.","Majalengka","Palasah","45475",
"Jawa Barat","Kab.","Cirebon","Palimanan","45161",
"Jawa Barat","Kab.","Subang","Pamanukan","41254",
"Jawa Barat","Kab.","Ciamis","Pamarican","46361 - 46382",
"Jawa Barat","Kab.","Bandung","Pameungpeuk","40376",
"Jawa Barat","Kab.","Garut","Pameungpeuk","44175",
"Jawa Barat","Kab.","Bogor","Pamijahan","16810",
"Jawa Barat","Kab.","Garut","Pamulihan","44164 - 44168",
"Jawa Barat","Kab.","Sumedang","Pamulihan","45365",
"Jawa Barat","Kab.","Ciamis","Panawangan","46255",
"Jawa Barat","Kab.","Kuningan","Pancalang","45557",
"Jawa Barat","Kab.","Tasikmalaya","Pancatengah","46194",
"Jawa Barat","Kota","Depok","Pancoran Mas","16431 - 16436",
"Jawa Barat","Kab.","Bandung","Pangalengan","40378",
"Jawa Barat","Kab.","Pangandaran","Pangandaran","46396",
"Jawa Barat","Kab.","Garut","Pangatikan","44183",
"Jawa Barat","Kab.","Cirebon","Pangenan","45182",
"Jawa Barat","Kab.","Karawang","Pangkalan","41362",
"Jawa Barat","Kab.","Cirebon","Panguragan","45163",
"Jawa Barat","Kab.","Cirebon","Tengah Tani","45153",
"Jawa Barat","Kab.","Bogor","Tenjo","16370",
"Jawa Barat","Kab.","Bogor","Tenjolaya","16370",
"Jawa Barat","Kab.","Karawang","Tirtajaya","41357",
"Jawa Barat","Kab.","Karawang","Tirtamulya","41372",
"Jawa Barat","Kab.","Sumedang","Tomo","45382",
"Jawa Barat","Kab.","Indramayu","Trisi/Terisi","45262",
"Jawa Barat","Kab.","Indramayu","Tukdana","45272",
"Jawa Barat","Kota","Bandung","Ujung Berung","40611 - 40619",
"Jawa Barat","Kab.","Sumedang","Ujungjaya","45383",
"Jawa Barat","Kab.","Sumedang","Wado","45373",
"Jawa Barat","Kab.","Cirebon","Waled","45187",
"Jawa Barat","Kab.","Sukabumi","Waluran","43175",
"Jawa Barat","Kab.","Garut","Wanaraja","44183",
"Jawa Barat","Kab.","Purwakarta","Wanayasa","41174",
"Jawa Barat","Kota","Sukabumi","Warudoyong","43131 - 43135",
"Jawa Barat","Kab.","Sukabumi","Warung Kiara","43362",
"Jawa Barat","Kab.","Cianjur","Warungkondang","43261",
"Jawa Barat","Kab.","Cirebon","Weru","45154 - 45651",
