"Tahun","KodeBarang","NamaBarang","Tr1","Tr2","Tr3","Tr4",
"2014","00202903","MARFU","9150,00","0,00","0,00","0,00",
"2014","00202912","BIO FAVE","7800,00","0,00","0,00","0,00",
"2014","00201123","NPK 15-15-6-4","6355,00","0,00","0,00","0,00",
"2014","00201124","NPK 12-12-17-2","6535,00","0,00","0,00","0,00",
"2014","00201155","NPK 20-20-20","0,00","0,00","0,00","0,00",
"2014","00201156","NPK 15-10-18-2+TE","7000,00","0,00","0,00","0,00",
"2014","00201149","PUKALET  15-7-18-2 (NPK BRIKET)","6675,00","0,00","0,00","0,00",
"2014","00201150","NPK 27-6-13-3 +TE","6480,00","0,00","0,00","0,00",
"2014","00201148","PAMAFERT TABLET","700,00","0,00","0,00","0,00",
"2014","00202910","PRO CHIP SOIL","0,00","49750,00","0,00","0,00",
"2014","00201113","DOLOMIT","820,00","0,00","0,00","0,00",
"2014","00201115","KALPHOS","5000,00","0,00","0,00","0,00",
"2014","01600961","POLYBAG UKURAN 40 CM X 50 CM X 0.015 CM","0,00","27400,00","0,00","0,00",
"2014","01200067","LABEL STATUS INSPEKSI","0,00","156,00","0,00","0,00",
"2014","01200222","KANTONG TEA SAMPLE (LAMA)","0,00","379,00","0,00","0,00",
"2014","01200582","STIKER TEA SAMPLE LAMA","0,00","80,00","0,00","0,00",
"2014","01200530","PLASTIK HITAM","0,00","30000,00","0,00","0,00",
"2014","01200071","PAPER SACK (IMPORT)","209500,00","0,00","0,00","0,00",
"2014","01501149","BAN BRIDGESTONE UK.265/75 R16 - 673","0,00","1875000,00","0,00","0,00",
"2014","01504879","BAN BRIDGESTONE UK. 205 X 70 - R 15","0,00","1135000,00","0,00","0,00",
"2014","01504880","BAN GOODYEAR UK. 235/60 R.16","0,00","1290000,00","0,00","0,00",
"2014","01504842","BAN GOODYEAR UK. 215/70 R15","0,00","1685000,00","0,00","0,00",
"2014","01504881","BAN GOODYEAR UK. 205/65 R.15","0,00","1570000,00","0,00","0,00",
"2014","01501182","BAN GOODYEAR UK.185/70 R14","0,00","1100000,00","0,00","0,00",
"2014","01504882","BAN GOODYEAR UK. 185/70 SR.14","0,00","1100000,00","0,00","0,00",
"2014","01501185","BAN GOODYEAR UK.195/65 15 B 250","0,00","1100000,00","0,00","0,00",
"2014","01501184","BAN GOODYEAR UK.195 / 70 R14","0,00","1100000,00","0,00","0,00",
"2014","01501204","BAN GOODYEAR UK.700 X 16 - 14PR  G141","0,00","1435000,00","0,00","0,00",
"2014","01504845","BAN GOODYEAR UK. 11,2 X 24","0,00","8620000,00","0,00","0,00",
"2014","01200662","KARTON BOX PISANG","0,00","0,00","7000,00","0,00",
"2014","01200663","INNER PLASTIK PISANG","0,00","0,00","1480,00","0,00",
"2014","01200664","STIKER LABEL PISANG","0,00","0,00","23,00","0,00",
"2014","01200665","POLY FOAM PISANG","0,00","0,00","240,00","0,00",
"2014","00202102","STARLON 665 EC","203000,00","0,00","0,00","0,00",
"2014","00202101","BEST UP","43750,00","43500,00","43500,00","0,00",
"2014","00202305","BAYLETON","228000,00","271000,00","271000,00","0,00",
"2014","00202324","CONASOL","109000,00","0,00","149000,00","0,00",
"2014","00202338","DELSENE MX 80 WP","154000,00","0,00","0,00","0,00",
"2014","00202339","PUANMUR 50 SP","656000,00","0,00","0,00","0,00",
"2014","00202126","TORDON 101 115/450 SL","118000,00","0,00","0,00","0,00",
"2014","00202272","AGRIMEC 100 ML","1610000,00","0,00","1750000,00","0,00",
"2014","00202260","SANCORD","63000,00","69700,00","69700,00","0,00",
"2014","00202255","MATARIN","190000,00","190500,00","190500,00","0,00",
"2014","00202233","LANIDOR 200 SL","253500,00","0,00","0,00","0,00",
"2014","00201101","UREA","0,00","5300,00","0,00","0,00",
"2014","00201102","ZA","0,00","3705,00","0,00","0,00",
"2014","00201105","SP-36","0,00","5945,00","0,00","0,00",
"2014","00201104","ROCK PHOSPAT","0,00","2410,00","0,00","0,00",
"2014","00201106","KCL","0,00","6405,00","0,00","0,00",
"2014","00201103","TSP","0,00","6865,00","0,00","0,00",
"2014","00201107","KIESERIT","0,00","3260,00","0,00","0,00",
"2014","00201133","NPK 27-6-13-3 +HS","6485,00","0,00","0,00","0,00",
"2014","00201143","PALMO  15-10-18-2 + 1TE (NPK BRIKET)","7000,00","0,00","0,00","0,00",
"2014","00201151","NPK 16-16-16","0,00","7590,00","0,00","0,00",
"2014","00201152","NPK 12-6-16","0,00","5905,00","0,00","0,00",
"2014","00201153","NPK 12-6-18","0,00","6110,00","0,00","0,00",
"2014","00201112","NPK 15-15-15","0,00","7660,00","0,00","0,00",
"2014","00201134","NPK 25-7-7-1 ,4 (MUTIARA)","0,00","9005,00","0,00","0,00",
"2014","00201426","PUPUK HAYATI PRO CHIPSOIL","0,00","49750,00","0,00","0,00",
"2014","00201108","HGF BORATE","0,00","17500,00","0,00","0,00",
"2014","00201154","KALNIBOR","0,00","5800,00","0,00","0,00",
"2014","01600946","PLASTIK BANANA BAG","0,00","71500,00","0,00","0,00",
"2014","00302003","ENVIRO 2T  (KEMSAN DRUM)","0,00","39636,00","0,00","0,00",
"2014","00302015","GEMUK SG","0,00","31670,00","0,00","0,00",
"2014","00202210","MARSHALL 5-G","0,00","28800,00","28800,00","0,00",
"2014","00202250","SAMITE","0,00","160500,00","160500,00","0,00",
"2014","00202340","BENOTOP 50 WP","0,00","0,00","245500,00","0,00",
"2013","01501186","BAN GOODYEAR UK.205/16 SR 15","1300000,00","0,00","1300000,00","0,00",
"2014","00202337","ANTRACOL 70 WP","160000,00","0,00","175500,00","0,00",
"2013","01600946","PLASTIK BANANA BAG","0,00","0,00","32600,00","0,00",
"2013","00202501","OMITE","0,00","0,00","170700,00","0,00",
"2013","00202102","STARLON 665 EC","0,00","0,00","178000,00","0,00",
"2013","00202211","MARSHALL 200 EC","0,00","0,00","79750,00","118000,00",
"2013","00202210","MARSHALL 5-G","0,00","0,00","22000,00","0,00",
"2013","01200071","PAPER SACK (IMPORT)","0,00","0,00","16037,00","0,00",
"2013","01901281","PISANG CAVENDISH","0,00","0,00","6500,00","0,00",
"2013","01900212","BIBIT PISANG  BARANGAN PASCA AKLIMATISASI","0,00","0,00","4900,00","0,00",
"2013","01902211","BIBIT PISANG MAS KIRANA","0,00","0,00","6450,00","0,00",
"2013","01902212","BIBIT PISANG MAS KIRANA PASCA AKLIMATISASI","0,00","0,00","5500,00","0,00",
"2013","01902213","BIBIT DURIAN VARIETAS MUSANG KING","0,00","0,00","75000,00","0,00",
"2013","01902214","BIBIT KELENGKENG","0,00","0,00","60000,00","0,00",
"2013","01900177","BIBIT JERUK","0,00","0,00","12000,00","0,00",
"2013","01902215","BIBIT JAMBU AIR","0,00","0,00","11250,00","0,00",
"2013","01900162","BIBIT ALPUKAT","0,00","0,00","19950,00","29700,00",
"2013","01902216","BIBIT BELIMBING","0,00","0,00","12500,00","0,00",
