"NPP","NoUrut","TKPendidikan","Pendidikan","Nama","Kota","StatAkreditasi","DNLN","TahunAwal","TahunAkhir","StatLulus","NoIjasah","TglIjasah","Nilai","Grade","UserId","TglInput",
"01070169036996","01","3","3A00","","","1","L","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01070170036997","01","3","3I00","","","1","L","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01070177036995","01","3","3AC0","SMA","","0","D","2002","2003","L","10PC001469","10-10-2003 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077360008734","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077360008735","01","1","1A00","","","1","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077460010293","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077460010294","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077462010295","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077660013858","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077660013859","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077660013860","01","1","1A00","","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077662013863","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01051273041387","01","3","3000","","BANDUNG","0","D","1990","1993","L","02 ob og 0502942","29-05-1993 00:00:00","83","C","MIGRASI","07-05-2015 08:59:05",
"01050574039789","01","1","1000","SEKOLAH DASAR","BANDUNG","9","D","1980","1986","L","XXX","01-05-1986 00:00:00","6","C","MIGRASI","07-05-2015 08:59:05",
"01077664013864","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01050577039790","01","1","1000","SEKOLAH DASAR","BANDUNG","9","D","1986","1992","L","02OA0531706","25-05-1992 00:00:00","6","C","MIGRASI","07-05-2015 08:59:05",
"01077665013865","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077760015022","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077760015023","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077760015024","01","1","1A00","","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077760015025","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077760015027","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077760015028","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077760015029","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077761015030","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077761015031","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077763015032","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077764015033","01","1","1A00","","","0","D","","","L","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077860016596","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077860016657","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077860016658","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077860016659","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077860016660","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077860016661","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077860016662","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
"01077860016663","01","1","1A00","SD","","0","D","","","","","01-01-1900 00:00:00","0","","MIGRASI","07-05-2015 08:59:06",
