"kodeunit","tanggal","unsur","kodeafd","kodebud","norek","netral","kodebarang","qtyBrg_RKAP","qtyBrg_PMK","klsKary","jmlHK_RKAP","jmlHsl_RKAP","jmlKary_RKAP","nilai_RKAP","jmlHK_PMK","jmlHsl_PMK","jmlKary_PMK","nilai_PMK","kodeblok","thntnm","HaJelajah_RKAP","HaJelajah_PMK","KMK",
"10","14-07-2017 00:00:00","LL","20","02","605190105","0200","","0","0","","0","0","0","88000","0","0","0","103000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","605190115","0200","","0","0","","0","0","0","952000","0","0","0","1109000","","","0","0","01",
"10","14-07-2017 00:00:00","LL","20","02","605190201","0200","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","18-07-2017 00:00:00","BB","20","02","603070000","0200","","0","0","","0","0","0","874000","0","0","0","1018000","","","0","0","01",
"10","18-07-2017 00:00:00","BB","20","02","603080000","0200","","0","0","","0","0","0","18361000","0","0","0","21382000","","","0","0","01",
"10","18-07-2017 00:00:00","BB","20","02","603100300","0200","","0","0","","0","0","0","179024000","0","0","0","333911000","","","0","0","01",
"10","18-07-2017 00:00:00","BB","20","02","605040000","0200","","0","0","","0","0","0","93392000","0","0","0","119167000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603010100","0200","","0","0","B","0","0","0","7701000","0","0","0","7701000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603020000","0200","","0","0","B","0","0","0","7696000","0","0","0","7696000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603030000","0200","","0","0","C","0","0","0","14285000","0","0","0","5619000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603030001","0200","","0","0","","0","0","0","12698000","0","0","0","4962000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603030002","0200","","0","0","C","0","0","0","14285000","0","0","0","6933000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603030003","0200","","0","0","C","0","0","0","28570000","0","0","0","16739000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603030100","0200","","0","0","D","0","0","0","0","0","0","0","12608000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603030101","0200","","0","0","","0","0","0","0","0","0","0","11240000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603030102","0200","","0","0","D","0","0","0","0","0","0","0","11294000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603030103","0200","","0","0","D","0","0","0","0","0","0","0","21634000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603030200","0200","","0","0","C","0","0","0","14285000","0","0","0","12594000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603030300","0200","","0","0","D","0","0","0","0","0","0","0","23861000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603040100","0200","","0","0","","0","0","0","45711000","0","0","0","21077000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603040200","0200","","0","0","D","0","0","0","0","0","0","0","43731000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603190111","0200","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603190113","0200","","0","0","","0","0","0","357000","0","0","0","357000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","603190211","0200","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","605020100","0200","","0","0","","0","0","0","10898000","0","0","0","4979000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","605020200","0200","","0","0","","0","0","0","0","0","0","0","8927000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","605190111","0200","","0","0","","0","0","0","0","0","0","0","2870000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","20","02","609040212","0200","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
"10","14-07-2017 00:00:00","GU","30","02","604010200","0200","","0","0","B","0","0","0","7572000","0","0","0","7769000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","30","02","604020100","0200","","0","0","B","0","0","0","7338000","0","0","0","7365000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","30","02","604020200","0200","","0","0","C","0","0","0","21325000","0","0","0","17622000","","","0","0","01",
"10","14-07-2017 00:00:00","GU","30","02","604190111","0200","","0","0","","0","0","0","0","0","0","0","0","","","0","0","01",
