"Kodeunit","kdbeli","nofaktur","tglfaktur","tglkembali","jmlpak","jmlkg","nilai","mutasi","nilaibayar","Batal",
"29","L07130","FAK201904V00247","11/04/2019 0:00:00","13/04/2019 0:00:00","528","51,84","6358460,66","0","0","",
"29","L07130","FAK201904V00248","11/04/2019 0:00:00","13/04/2019 0:00:00","448","41,2","5963565,37","0","0","",
"29","L07107","FAK201804V00215","20/04/2018 0:00:00","25/04/2018 0:00:00","744","24,48","4149789,87","0","4149790","",
"29","L07107","FAK201804V00186","11/04/2018 0:00:00","11/04/2018 0:00:00","1248","58,5","11318948,52","0","6408576","",
"29","L07107","FAK201804V00187","11/04/2018 0:00:00","11/04/2018 0:00:00","811","153,05","11213260","0","5277469","",
"29","L07107","FAK201804V00188","11/04/2018 0:00:00","11/04/2018 0:00:00","197","9,85","1975691,52","0","1975692","",
"29","L07107","FAK201803V00163","29/03/2018 0:00:00","03/04/2018 0:00:00","2913","167,865","16404897,02","0","13866606","",
"29","L07107","FAK201803V00164","29/03/2018 0:00:00","03/04/2018 0:00:00","838","40,94","8229381,07","0","0","",
"29","L07107","FAK201803V00148","19/03/2018 0:00:00","20/03/2018 0:00:00","1272","62,16","12232274,21","0","5375940","",
"29","L07107","FAK201803V00149","19/03/2018 0:00:00","20/03/2018 0:00:00","4094","76,68","9836528,45","0","4161130","",
"29","L07107","FAK201803V00135","09/03/2018 0:00:00","10/03/2018 0:00:00","644","32,11","6389139,63","0","6389140","",
"29","L07107","FAK201803V00136","09/03/2018 0:00:00","10/03/2018 0:00:00","2900","189,08","17041881,29","0","10237931","",
"29","L07107","FAK201802V00110","27/02/2018 0:00:00","28/02/2018 0:00:00","1179","55,59","11875540,18","0","4102005","",
"29","L07107","FAK201802V00098","20/02/2018 0:00:00","21/02/2018 0:00:00","2887","110,39","19482246,03","0","29016","",
"29","L07107","FAK201802V00099","20/02/2018 0:00:00","21/02/2018 0:00:00","835","41,75","8651354,8","0","8651355","",
"29","L07107","FAK201802V00094","13/02/2018 0:00:00","18/02/2018 0:00:00","4390","153,54","22602289,6","0","1114092","",
"29","L07107","FAK201802V00087","09/02/2018 0:00:00","13/02/2018 0:00:00","1574","56,94","11875434,57","0","9028001","",
"29","L07107","FAK201801V00029","31/01/2018 0:00:00","31/01/2018 0:00:00","480","28,8","1856131,2","0","1856131","",
